Date,Open,High,Low,Close,Volume
9/26/18,3248.81,3265.01,3237.91,3239.1,179680400
9/27/18,3244.2,3263.08,3232.21,3236.26,211514912
9/28/18,3250.31,3262.17,3244.51,3257.05,314079392
10/1/18,3262.43,3268.49,3246.79,3255.46,168933568
10/2/18,3248.5,3253.62,3231.56,3242.65,175318320
10/3/18,3257.31,3272.88,3252.39,3267.4,250172000
10/4/18,3246.97,3248.53,3226.86,3231.59,224805680
10/5/18,3224.35,3230.01,3198.72,3209.79,180419392
10/8/18,3198.24,3202.89,3179.82,3181.45,180453376
10/9/18,3180.6,3187.18,3160.85,3166.6,212899520
10/10/18,3169.33,3169.57,3129.5,3131.48,246192496
10/11/18,3074.77,3074.77,3035.2,3047.39,404487872
10/12/18,3055.17,3088.77,3043.28,3069.17,351501248
10/15/18,3067.8,3067.8,3045.53,3045.97,217864400
10/16/18,3053.24,3058.97,3030.21,3034.31,267229600
10/17/18,3077.86,3087.84,3071.1,3071.1,282458688
10/18/18,3064.06,3074.74,3050.64,3069.67,212001264
10/19/18,3046.87,3073.21,3046.7,3062.51,291172608
10/22/18,3057.31,3078.06,3057.16,3078.06,212014830
10/23/18,3057.65,3061.12,3029.6,3031.39,211220502
10/24/18,3044.33,3053.07,3031.94,3032.08,232738800
10/25/18,2992,3012.84,2984.47,3012.84,303350100
10/26/18,3004.35,3006.92,2955.68,2972.02,324985000
10/29/18,2989.63,3005.03,2978.64,2981.54,233252500
10/30/18,2969.51,2974.85,2961.23,2966.45,190171200
10/31/18,2978.99,3020.49,2978.66,3018.8,313672300
11/1/18,3045.68,3061.49,3040.93,3060.85,230549388
11/2/18,3081.67,3121.27,3077.5,3116.39,328111300
11/5/18,3087.51,3091.91,3056.42,3060.62,172939500
11/7/18,3084.5,3092.95,3060.88,3065.36,223316800
11/8/18,3089.04,3097.59,3079.96,3093.24,285868100
11/9/18,3078.38,3079.41,3059.2,3077.97,267129593
11/12/18,3060.3,3089.82,3059.32,3068.15,158330140
11/13/18,3027.91,3056.28,3026.08,3053.6,250754993
11/14/18,3049.31,3053.32,3031.47,3043.19,204149700
11/15/18,3042.7,3065.33,3031.9,3054.53,237179348
11/16/18,3069.34,3087.9,3060.97,3083.6,197622640
11/19/18,3084.34,3084.71,3054.95,3065.07,154763100
11/20/18,3035.09,3042.94,3023.68,3026.99,204465700
11/21/18,3010.09,3049.24,3007.31,3038.65,173168800
11/22/18,3052.8,3054.16,3032.79,3041.38,140236085
11/23/18,3037.68,3056.11,3034.12,3052.49,94478000
11/26/18,3057.28,3093.38,3056.39,3093.38,157366400
11/27/18,3085.74,3105.8,3074.21,3090.4,261970772
11/28/18,3095.86,3100.17,3078.93,3094.48,233671900
11/29/18,3119.97,3125.5,3107,3109.44,234574646
11/30/18,3122.11,3130.71,3110.34,3117.61,384850779
12/3/18,3154.22,3192.88,3153.71,3190.62,302565438
12/4/18,3189.53,3190.08,3151.72,3167.79,230496300
12/5/18,3132.64,3155.92,3127.7,3155.92,190064747
12/6/18,3133.8,3134.65,3105.63,3115.52,199928600
12/7/18,3149.5,3149.71,3111.12,3111.12,194056900
12/10/18,3087.28,3087.28,3064.02,3072.44,150894400
12/11/18,3062.44,3075.27,3053.99,3059.28,202673800
12/12/18,3075.62,3101.1,3073.02,3099.99,212610800
12/13/18,3104.07,3125.1,3102.44,3111.08,204850493
12/14/18,3087.46,3094.27,3067.3,3077.09,178803159
12/17/18,3091.78,3124.59,3090.92,3114.25,198261000
12/18/18,3077.89,3080.77,3045.54,3045.54,233549840
12/19/18,3045.91,3065.37,3042.44,3058.65,193446400
12/20/18,3041.92,3064.09,3036.91,3050.62,199126400
12/21/18,3031.19,3070.09,3028.25,3046.04,330658124
12/24/18,3026.86,3051.06,3022.47,3051.06,76275670
12/26/18,3001.53,3022.24,3000.45,3011.15,111947000
12/27/18,3055.43,3076.1,3041.91,3044.74,145423900
12/28/18,3049.63,3069.19,3039.85,3053.43,103882566
12/31/18,3064.09,3070.49,3061.53,3068.76,80276000
1/2/19,3072.99,3081.01,3028.84,3038.89,169009672
1/3/19,3022.27,3041.03,3002.4,3012.88,206991900
1/4/19,2994.02,3059.23,2993.42,3059.23,186358200
1/7/19,3101.26,3104.32,3084.88,3102.8,245440632
1/8/19,3108.38,3126.64,3099.33,3122.94,186232400
1/9/19,3141.98,3159.31,3139.03,3158.07,262169513
1/10/19,3154.65,3183.51,3147.71,3183.51,267076080
1/11/19,3198.76,3209.65,3191.72,3198.65,191501956
1/14/19,3205.15,3205.72,3173.46,3173.46,159549791
1/15/19,3191.35,3223.61,3190.71,3212.3,303421200
